Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,fa_degrees,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
abandon,8.32,7.0,3.0,4.638257950687851e-06,0.5,2.611724990471923e-05,5,4.5747427240644936e-05,0.16666666666666666,2.4285714285714284,7,1.6514672925348698e-05,9
abdomen,8.61,7.0,3.0,0.0005947140425114646,0.19696969696969696,1.6943813865521712e-05,12,4.47642350803433e-06,0.5,3.0,2,6.6058691701394279e-06,4
absent,6.5,6.0,2.0,0.0002845162751573165,0.16176470588235295,0.00010128192102691139,17,6.791211108456753e-05,0.2857142857142857,2.75,4,1.1560271047745141e-05,7
abstract,11.47,8.0,2.0,0.00032821684426095963,0.08187134502923976,1.9952032806504971e-05,19,7.415590728535572e-05,0.39869281045751637,3.0,9,2.9726411265627205e-05,18
absurd,10.5,5.0,2.0,0.00032192038581071097,0.2967032967032967,1.0171695855125957e-05,14,4.47642350803433e-06,0.7777777777777778,4.0,3,1.48632056328081e-05,9
abuse,8.61,5.0,2.0,0.0003029719441771708,0.16666666666666666,4.8511032941408848e-05,21,6.250099134994034e-05,0.16911764705882354,3.5714285714285716,7,2.9726411265627666e-05,17
accent,8.6,6.0,2.0,2.585422580189317e-06,0.3333333333333333,1.4669894089855502e-05,3,2.2253185547186294e-05,0.26666666666666666,3.0,7,2.3120542095488384e-05,10
accept,6.74,6.0,2.0,0.0006870048262097934,0.1103448275862069,4.2984760104370295e-05,30,1.9529259334401205e-05,0.23636363636363636,2.2727272727272729,11,2.3120542095487154e-05,11
accomplish,7.84,8.0,3.0,3.131145995769194e-05,0.358974358974359,2.6426021827376245e-05,13,1.2113358937178695e-05,0.5,5.5,2,1.4863205632813509e-05,9
account,8.26,5.0,2.0,0.00043291541706074626,0.11764705882352941,5.0211663814518569e-05,17,6.706458009208216e-05,0.1,2.3571428571428572,14,3.1377878558157297e-05,16
accumulate,12.3,10.0,4.0,0.00039467707484541254,0.12105263157894737,1.1907772279121786e-05,20,2.6200306282516277e-06,0.6944444444444444,6.5,2,1.8166140217883686e-05,9
accuse,9.1,5.0,2.0,0.00012341038149286002,0.17028985507246377,2.1796624777276192e-05,24,1.1637860832250372e-05,0.5,3.0,2,6.6058691701390628e-06,4
ace,8.83,2.0,1.0,0.0006177188858550235,0.05263157894736842,1.9331520813919195e-05,19,0.0003622968972391928,0.23529411764705882,4.1818181818181817,11,5.7801355238721127e-05,35
ache,5.79,2.0,1.0,8.153882529790988e-05,0.19166666666666668,0.00014289514295368937,16,7.949642138228106e-05,0.2857142857142857,3.25,4,1.4863205632813393e-05,8
acid,9.6,4.0,2.0,0.00041527952604953846,0.07608695652173914,6.7222383505166698e-05,24,0.00011722310149464442,0.37318840579710144,5.7999999999999998,5,3.9635215020837828e-05,24
acknowledge,9.11,7.0,3.0,0.0003054096492886344,0.09259259259259259,1.9967282956320559e-05,28,1.391281303635299e-05,0.2,2.3333333333333335,6,1.3211738340278785e-05,6
acquire,9.94,5.0,3.0,0.0001477347749748277,0.2,4.7012852645799888e-05,20,3.3371332645702205e-05,0.21794871794871795,3.1428571428571428,7,2.4772009388022002e-05,13
act,6.42,3.0,1.0,0.0006756964773270291,0.07965860597439545,6.2457775780592898e-05,38,0.00014339629270879644,0.1111111111111111,2.3999999999999999,15,3.4680813143231046e-05,19
action,6.67,5.0,2.0,0.0011584734329438914,0.05391120507399577,6.4253683065712767e-05,44,5.3742481936884824e-05,0.16911764705882354,2.5,12,2.9726411265627659e-05,17
active,6.53,5.0,2.0,0.0007650615041877128,0.10052910052910052,4.2079763208034858e-05,28,2.829105599157931e-05,0.047619047619047616,1.411764705882353,17,1.1560271047743228e-05,7
activity,6.47,8.0,4.0,0.00043786072683270853,0.18472906403940886,3.553886710314973e-05,29,1.3428449884756353e-05,0.3333333333333333,2.5,6,1.4863205632814026e-05,7
actor,7.17,4.0,2.0,0.0007628331629232116,0.1553030303030303,8.2834233721272452e-05,33,1.790372449770539e-05,0.4666666666666667,4.0,2,9.908803755209772e-06,6
ad,8.22,2.0,1.0,0.0004632612461640396,0.12666666666666668,2.0303104875893985e-05,25,8.952518760330005e-06,0.5238095238095238,4.5,2,1.1560271047744234e-05,7
add,5.1,2.0,1.0,0.000259123624215452,0.11494252873563218,9.4854837347780764e-05,30,8.126211467430074e-05,0.27898550724637683,4.5714285714285712,7,4.1286682313371924e-05,24
addict,11.17,5.0,2.0,8.002338536622744e-05,0.16666666666666666,2.2828440317514314e-05,13,3.8002349162228894e-05,0.6,2.6666666666666665,3,8.2573364626745373e-06,5
address,5.15,5.0,2.0,0.0004457906015972826,0.1111111111111111,2.8745301299062685e-05,18,0.00030816255816115473,0.09558823529411764,1.9444444444444444,18,2.8074943973091225e-05,17
adjourn,12.59,4.0,2.0,0.00011391335311143143,0.175,1.1614901990775986e-05,16,1.041305569907114e-05,0.3333333333333333,3.0,2,6.6058691701392517e-06,4
adjustment,9.74,9.0,3.0,0.0005312287228402162,0.047619047619047616,1.1042672541115813e-05,15,3.3637247661882765e-05,0.1111111111111111,2.7999999999999998,5,1.4863205632814223e-05,9
admission,8.84,7.0,3.0,0.00015887744917197027,0.1437908496732026,1.6357838407476812e-05,18,2.6853617212126157e-05,0.4666666666666667,3.75,4,1.8166140217885631e-05,10
admit,7.56,5.0,2.0,0.00014124031508598313,0.17316017316017315,1.4408151007603638e-05,22,2.803526594984039e-05,0.16363636363636364,2.5,8,1.9817607510417789e-05,11
adolescent,11.05,9.0,4.0,8.252230157072356e-06,0.48484848484848486,3.7452579801470263e-05,12,2.2379163238523756e-05,0.32142857142857145,2.7999999999999998,5,1.4863205627155965e-05,8
adorn,11.65,5.0,2.0,0.00045246672275619214,0.08300395256916997,9.8848888705227071e-06,23,2.5920675821166742e-05,0.5357142857142857,5.0,3,1.9817607510417105e-05,8
adult,4.68,5.0,2.0,0.00018094569538908817,0.20553359683794467,0.00010981899276737392,23,4.47642350803433e-06,0.6666666666666666,2.75,4,1.1560271047742916e-05,6
advance,8.35,6.0,2.0,0.0004147764273821839,0.11255411255411256,1.1509726177082175e-05,22,0.000317837279763489,0.09302325581395349,3.5,20,8.257336462674271e-05,43
adventure,5.67,7.0,3.0,0.0006321093259912778,0.10144927536231885,3.4021508488666719e-05,24,1.6323750369870127e-05,0.38461538461538464,5.666666666666667,3,2.3120542095488387e-05,13
advise,8.89,5.0,2.0,0.00042652687621439297,0.16600790513833993,1.4062855731786396e-05,23,1.328551033266836e-05,0.3333333333333333,4.0,3,1.4863205632813333e-05,9
affair,10.94,4.0,2.0,0.0003399861673853149,0.15263157894736842,1.2969454929354961e-05,20,6.726311836194595e-05,0.3090909090909091,4.666666666666667,3,1.8166140217883137e-05,11
affect,9.6,5.0,2.0,0.00014169153721596051,0.0718954248366013,1.3461580370483326e-05,18,7.729297167517132e-05,0.21978021978021978,3.3333333333333335,6,2.3120542095487398e-05,14
age,4.38,2.0,1.0,0.0017881444587402387,0.050793650793650794,9.1622012748332322e-05,36,3.1329302144748516e-05,0.28888888888888886,2.5,8,1.9817607510418887e-05,10
agency,10.58,6.0,3.0,0.00034231051499674335,0.15263157894736842,1.7436568631565839e-05,20,3.342301888933724e-05,0.3333333333333333,2.7999999999999998,5,1.4863205632814031e-05,9
agenda,9.95,6.0,3.0,0.00017425502483650512,0.18333333333333332,1.8877404091204016e-05,16,6.565114773094273e-10,0.3333333333333333,3.0,2,1.3158903610773414e-05,4
