Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
abdomen,8.61,7.0,3.0,2.596283734140865e-05,0.3611111111111111,2.6422077666408541e-05,4.47642350803433e-06,0.5,3.0,2,6.6058691701394279e-06,4.0
absent,6.5,6.0,2.0,0.00011052174806664218,0.18333333333333332,0.00012368917263436306,6.791211108456753e-05,0.2857142857142857,2.75,4,1.1560271047745141e-05,7.0
abstract,11.47,8.0,2.0,0.00020787735472670705,0.09558823529411764,3.0501679049424415e-05,7.415590728535572e-05,0.39869281045751637,3.0,9,2.9726411265627205e-05,18.0
absurd,10.5,5.0,2.0,1.8526036053866932e-05,0.45454545454545453,2.1122326702295878e-05,4.47642350803433e-06,0.7777777777777778,4.0,3,1.48632056328081e-05,9.0
abuse,8.61,5.0,2.0,0.00018123991698762795,0.18421052631578946,0.00019874072207505574,6.250099134994034e-05,0.16911764705882354,3.5714285714285716,7,2.9726411265627666e-05,18.0
accept,6.74,6.0,2.0,0.0004303453216638432,0.12698412698412698,7.4787384564197233e-05,1.9529259334401205e-05,0.23636363636363636,2.2727272727272729,11,2.3120542095487154e-05,14.0
accomplish,7.84,8.0,3.0,2.672217592527396e-05,0.358974358974359,6.5603034522226293e-05,1.2113358937178695e-05,0.5,5.5,2,1.4863205632813509e-05,9.0
account,8.26,5.0,2.0,0.00015809599204192048,0.13333333333333333,6.225982794211366e-05,6.706458009208216e-05,0.1,2.3571428571428572,14,3.1377878558157297e-05,19.0
accumulate,12.3,10.0,4.0,0.00017341618257470023,0.1437908496732026,2.2747513933821408e-05,2.6200306282516277e-06,0.6944444444444444,6.5,2,1.8166140217883686e-05,11.0
accuse,9.1,5.0,2.0,0.00016460800840321758,0.17028985507246377,4.4409586508724428e-05,1.1637860832250372e-05,0.5,3.0,2,6.6058691701390628e-06,4.0
ace,8.83,2.0,1.0,0.00023857377827806093,0.0661764705882353,4.6543659082436107e-05,0.0003622968972391928,0.23529411764705882,4.1818181818181817,11,5.7801355238721127e-05,35.0
ache,5.79,2.0,1.0,0.0001087872532431427,0.19166666666666668,0.00042818899745140438,7.949642138228106e-05,0.2857142857142857,3.25,4,1.4863205632813393e-05,9.0
acid,9.6,4.0,2.0,0.00034035671041078303,0.07509881422924901,6.97977061608855e-05,0.00011722310149464442,0.37318840579710144,5.7999999999999998,5,3.9635215020837828e-05,24.0
acknowledge,9.11,7.0,3.0,0.0002818611419271524,0.09971509971509972,2.879466094831856e-05,1.391281303635299e-05,0.2,2.3333333333333335,6,1.3211738340278785e-05,8.0
acquire,9.94,5.0,3.0,0.0001009786627550588,0.2222222222222222,6.295573622768687e-05,3.3371332645702205e-05,0.21794871794871795,3.1428571428571428,7,2.4772009388022002e-05,15.0
act,6.42,3.0,1.0,0.0006529536426806138,0.08408408408408409,0.00016126310789082499,0.00014339629270879644,0.1111111111111111,2.3999999999999999,15,3.4680813143231046e-05,21.0
action,6.67,5.0,2.0,0.0009336474928842713,0.05647840531561462,0.00013896585530576031,5.3742481936884824e-05,0.16911764705882354,2.5,12,2.9726411265627659e-05,18.0
active,6.53,5.0,2.0,0.00019073029497234894,0.12666666666666668,7.3715306462910409e-05,2.829105599157931e-05,0.047619047619047616,1.411764705882353,17,1.1560271047743228e-05,7.0
activity,6.47,8.0,4.0,0.00028246567861795363,0.1984126984126984,4.5056396972395504e-05,1.3428449884756353e-05,0.3333333333333333,2.5,6,1.4863205632814026e-05,9.0
actor,7.17,4.0,2.0,0.0004226181407503509,0.18620689655172415,0.00020332431931844881,1.790372449770539e-05,0.4666666666666667,4.0,2,9.908803755209772e-06,6.0
ad,8.22,2.0,1.0,0.00027080315990892005,0.14624505928853754,4.1186593971520753e-05,8.952518760330005e-06,0.5238095238095238,4.5,2,1.1560271047744234e-05,7.0
add,5.1,2.0,1.0,0.0003335235303795251,0.11494252873563218,0.00043443536519811496,8.126211467430074e-05,0.27898550724637683,4.5714285714285712,7,4.1286682313371924e-05,25.0
addict,11.17,5.0,2.0,4.704703737018944e-05,0.19696969696969696,3.5903146800727537e-05,3.8002349162228894e-05,0.6,2.6666666666666665,3,8.2573364626745373e-06,5.0
address,5.15,5.0,2.0,0.0001673686607433517,0.14166666666666666,5.4158647333887251e-05,0.00030816255816115473,0.09558823529411764,1.9444444444444444,18,2.8074943973091225e-05,17.0
adjourn,12.59,4.0,2.0,7.449030745853537e-05,0.23076923076923078,2.4637879909883862e-05,1.041305569907114e-05,0.3333333333333333,3.0,2,6.6058691701392517e-06,4.0
adjustment,9.74,9.0,3.0,0.00011472848144240575,0.09090909090909091,2.1303404833354023e-05,3.3637247661882765e-05,0.1111111111111111,2.7999999999999998,5,1.4863205632814223e-05,9.0
admission,8.84,7.0,3.0,0.00023215789091955233,0.1437908496732026,3.0335163420588134e-05,2.6853617212126157e-05,0.4666666666666667,3.75,4,1.8166140217885631e-05,11.0
admit,7.56,5.0,2.0,0.0001644348078576124,0.17316017316017315,3.4425394249733835e-05,2.803526594984039e-05,0.16363636363636364,2.5,8,1.9817607510417789e-05,12.0
adolescent,11.05,9.0,4.0,1.2784050986343042e-05,0.48484848484848486,4.196229092756538e-05,2.2379163238523756e-05,0.32142857142857145,2.7999999999999998,5,1.4863205627155965e-05,9.0
adorn,11.65,5.0,2.0,0.0003234063998108246,0.09523809523809523,2.0881373144479981e-05,2.5920675821166742e-05,0.5357142857142857,5.0,3,1.9817607510417105e-05,12.0
adult,4.68,5.0,2.0,0.0001655543085164625,0.22510822510822512,0.00029023992698673723,4.47642350803433e-06,0.6666666666666666,2.75,4,1.1560271047742916e-05,7.0
advance,8.35,6.0,2.0,0.00026879345647034104,0.12631578947368421,2.7236214998960809e-05,0.000317837279763489,0.09302325581395349,3.5,20,8.257336462674271e-05,50.0
adventure,5.67,7.0,3.0,0.00025731062073917205,0.12380952380952381,5.3430457544813447e-05,1.6323750369870127e-05,0.38461538461538464,5.666666666666667,3,2.3120542095488387e-05,14.0
advise,8.89,5.0,2.0,0.00010912203721228157,0.21578947368421053,2.600988647386638e-05,1.328551033266836e-05,0.3333333333333333,4.0,3,1.4863205632813333e-05,9.0
affair,10.94,4.0,2.0,0.00018721145352736666,0.1695906432748538,2.558588401303366e-05,6.726311836194595e-05,0.3090909090909091,4.666666666666667,3,1.8166140217883137e-05,11.0
affect,9.6,5.0,2.0,0.00012204522032701128,0.07352941176470588,3.0681586080058237e-05,7.729297167517132e-05,0.21978021978021978,3.3333333333333335,6,2.3120542095487398e-05,14.0
age,4.38,2.0,1.0,0.0005233248202744409,0.07881773399014778,0.00017309389604020702,3.1329302144748516e-05,0.28888888888888886,2.5,8,1.9817607510418887e-05,12.0
agency,10.58,6.0,3.0,0.00011146296173925467,0.1895424836601307,2.1431004156867794e-05,3.342301888933724e-05,0.3333333333333333,2.7999999999999998,5,1.4863205632814031e-05,9.0
agenda,9.95,6.0,3.0,8.025717835484875e-05,0.2,2.9351605553770177e-05,6.565114773094273e-10,0.3333333333333333,3.0,2,1.3158903610773414e-05,4.0
agent,9.55,5.0,2.0,0.00028659171341926544,0.09956709956709957,3.3178888084292195e-05,8.952682888199332e-06,0.16666666666666666,1.6666666666666667,6,6.605869170139876e-06,4.0
aggressive,8.32,7.0,3.0,0.0002693550054779724,0.16,4.7307634188976656e-05,8.952518760330005e-06,0.3333333333333333,2.0,3,4.9544018776055958e-06,3.0
agony,9.22,5.0,3.0,1.7820316099689425e-05,0.21428571428571427,0.00015629725127638296,9.18219728717912e-06,0.3333333333333333,3.0,2,6.6058691701393788e-06,4.0
agree,7.68,4.0,2.0,0.00014599218760281808,0.11428571428571428,0.00010421979950039992,5.0240748538560786e-05,0.38095238095238093,3.2857142857142856,7,2.6423476680556963e-05,16.0
agreement,8.16,8.0,3.0,0.0001222487224797935,0.125,5.0922210574766552e-05,2.9239193023170444e-05,0.1,1.8333333333333333,6,8.2573364626742357e-06,5.0
agriculture,10.32,9.0,4.0,7.017604601598254e-05,0.325,2.1783530824826428e-05,2.2379819750001065e-05,0.23809523809523808,2.75,4,1.1560271047744726e-05,7.0
aid,7.33,2.0,1.0,0.0003058398831743079,0.11956521739130435,0.00015606506496745691,2.1338738511550756e-05,0.25,3.1666666666666665,6,2.1469074802953718e-05,13.0
aim,6.72,2.0,1.0,0.00012478844664967764,0.14285714285714285,5.0895472109134928e-05,0.00027786321322785995,0.13043478260869565,3.4545454545454546,11,4.4589616898435678e-05,27.0
air,3.94,2.0,1.0,0.0022926438553846572,0.05789235639981909,0.00088385578462989243,0.00029499658633505425,0.11,2.7999999999999998,15,4.4589616898436715e-05,27.0
alarm,6.39,5.0,2.0,0.0003052297463792259,0.07608695652173914,0.00015178503454638258,2.9039772436189953e-05,0.2,3.1666666666666665,6,2.1469074802948423e-05,13.0
alert,8.9,4.0,2.0,0.00025095575168999554,0.0935672514619883,0.00011494349569365686,9.552735547622354e-05,0.23809523809523808,3.2857142857142856,7,2.642347668054629e-05,16.0
alive,5.11,4.0,2.0,0.0004354418453321991,0.15343915343915343,0.00067526680462917307,3.651877954714237e-05,0.1,1.8571428571428572,7,9.9088037552075291e-06,6.0
allegiance,8.42,7.0,3.0,1.7743309948940407e-05,0.2857142857142857,3.1112762408388669e-05,4.47642350803433e-06,0.5,3.0,2,6.6058691701397769e-06,4.0
alley,7.26,3.0,2.0,0.0002700338016305736,0.07792207792207792,0.00011690930009795135,6.565114773094273e-10,0.3333333333333333,3.0,2,1.5953806817894593e-05,4.0
allow,5.32,3.0,2.0,0.0002785088451920385,0.1354679802955665,9.958882430505589e-05,5.359403134721242e-05,0.12380952380952381,2.7999999999999998,10,2.9726411265627104e-05,18.0
almighty,8.47,6.0,3.0,2.8489773473947364e-05,0.25,0.00010029982603949349,8.952518760330006e-06,0.6111111111111112,5.5,2,1.4863205632816218e-05,9.0
alone,4.94,4.0,2.0,0.001114220915740541,0.06648936170212766,0.00033637822634459224,2.7592741532173162e-05,0.23076923076923078,3.3333333333333335,6,2.312054209548545e-05,14.0
alter,9.47,4.0,2.0,6.740123288386631e-06,0.4,3.4596992241851663e-05,2.25234260818009e-05,0.21428571428571427,2.7999999999999998,5,1.4863205632813989e-05,9.0
alternative,10.11,9.0,4.0,9.641953638410788e-05,0.21818181818181817,2.8183905661382909e-05,6.6787826463108825e-06,0.3333333333333333,2.0,4,6.6058691701391924e-06,4.0
amateur,10.53,5.0,3.0,7.113895047425313e-05,0.25757575757575757,3.6476534963816539e-05,1.875328769493875e-05,0.4,2.25,4,8.2573364626756672e-06,5.0
amaze,7.5,4.0,2.0,1.6488818026259312e-05,0.19047619047619047,4.9335693304517706e-05,8.952518760330005e-06,0.7794117647058824,9.5,2,2.807494397309212e-05,17.0
ambition,11.29,7.0,3.0,0.00015263160645536148,0.15204678362573099,3.0373374726680277e-05,4.47642350803433e-06,0.3333333333333333,2.0,3,4.9544018776060702e-06,3.0
amount,6.63,5.0,2.0,0.0006414717362167885,0.08048780487804878,0.00011083263535287112,5.055753868892137e-05,0.3333333333333333,2.8571428571428572,7,2.1469074802953413e-05,13.0
amp,12.11,3.0,1.0,0.0001961628558013122,0.2631578947368421,2.2988958511284867e-05,3.939068863856563e-09,0.3333333333333333,3.0,2,1.571951491047445e-05,4.0
analysis,11.32,8.0,4.0,0.00015250805848175694,0.17894736842105263,2.4423031921990787e-05,3.2825573865471363e-10,0.3333333333333333,1.5,6,1.7492940844443662e-05,3.0
analyze,11.39,6.0,3.0,0.00013928299415510976,0.11578947368421053,2.6145644008023024e-05,9.251120937134818e-06,0.4222222222222222,4.25,4,2.1469074802948836e-05,13.0
anatomy,11.94,7.0,4.0,0.000146355404674848,0.16666666666666666,8.0038850817403721e-05,4.47642350803433e-06,0.8571428571428571,5.666666666666667,3,2.3120542095487764e-05,14.0
anchor,5.72,4.0,2.0,5.974303739143404e-05,0.2,2.04562351647809e-05,3.480140567746165e-05,0.21818181818181817,3.2000000000000002,5,1.8166140217883974e-05,11.0
angel,4.0,5.0,2.0,0.0004233346192493002,0.1038961038961039,0.00018535272896759994,8.952682888199332e-06,0.3,2.25,4,8.257336462675142e-06,5.0
anger,6.0,4.0,2.0,0.0012576458062404062,0.08134920634920635,0.00038333295714562221,2.4614995138435674e-05,0.26666666666666666,2.3999999999999999,5,1.1560271047746135e-05,7.0
angle,8.05,5.0,2.0,6.52151355695296e-05,0.24761904761904763,3.8310707687453171e-05,2.4589204418644756e-05,0.4666666666666667,2.0,8,1.3211738340278395e-05,8.0
animal,2.89,6.0,3.0,0.011176697985842685,0.03514352798606377,0.0017096077169535028,1.3450815282975943e-05,0.4642857142857143,5.0,2,1.3211738340279296e-05,8.0
announce,9.48,5.0,2.0,0.00014719485452774323,0.1871345029239766,2.3727110766468085e-05,6.856579191217855e-06,0.4,2.5,4,9.9088037552092773e-06,6.0
annoying,6.52,5.0,3.0,0.0006285990636147833,0.10887096774193548,7.7701170896194555e-05,4.185314835105406e-05,0.6571428571428571,8.5,2,2.4772009388022267e-05,15.0
annual,9.26,6.0,3.0,1.685708681970058e-05,0.09523809523809523,2.6693206174519728e-05,4.47642350803433e-06,0.3333333333333333,2.0,4,6.6058691701400869e-06,4.0
answer,5.43,4.0,2.0,0.000986881860645751,0.06957047791893527,0.0014290634010504875,4.5657339431184765e-05,0.21818181818181817,1.8,15,1.9817607510417552e-05,12.0
anteater,8.5,6.0,3.0,2.174072237226421e-05,0.2857142857142857,2.5007710067096795e-05,1.2966101676861188e-08,0.14545454545454545,3.1666666666666665,6,2.5236586392154682e-05,13.0
antenna,7.05,6.0,3.0,0.0001336619178103852,0.16363636363636364,2.1057217991982374e-05,1.5223519843424417e-05,0.3333333333333333,2.3333333333333335,3,6.6058691701389535e-06,4.0
antique,8.05,5.0,2.0,0.00015921827508502952,0.13333333333333333,2.5208411442896917e-05,3.274305150827518e-05,0.34615384615384615,2.8571428571428572,7,2.1469074802933938e-05,13.0
anxious,10.21,5.5,2.0,0.0001316092671937073,0.2246153846153846,6.9110727275876479e-05,1.0470840124316208e-05,0.6,3.5,2,8.2573364626748456e-06,5.0
ape,5.89,2.0,1.0,7.056506686288777e-05,0.3238095238095238,0.00012253906863227764,3.366915446842477e-05,0.4,2.2000000000000002,5,9.9088037552091283e-06,6.0
apex,12.58,5.0,2.0,0.0001288447679431644,0.18095238095238095,2.1341831564932044e-05,8.952518760330005e-06,0.4,3.5,2,8.2573364626739206e-06,5.0
appeal,10.21,4.0,2.0,0.00017890798006296786,0.16993464052287582,6.1274422215491488e-05,0.00010367865565973834,0.1388888888888889,2.1111111111111112,9,1.6514672925348871e-05,10.0
